EPOCH,AMOUNT,DATE,PRICE_EUR,PRICE_USD,PRICE_AUSD,PRICE_JPY
260,9.225189,25-4-2021,0.9184649607014803,1.1110808206966274,1.4342075671332628,119.89117595726965
261,7.512492,30-4-2021,1.084750118912631,1.3151260010143138,1.6910626591602615,143.18522011548447
262,7.634296,5-5-2021,1.0636510857026051,1.2779659806591444,1.6569506261215554,139.72002066546426
263,7.228333,10-5-2021,1.4569080349969932,1.7740322694519541,2.2570373912620214,192.54464975491175
264,9.325528,15-5-2021,1.6538427228090145,2.0084971185028992,2.5830116512737087,219.67937233625457
265,5.645113,20-5-2021,1.2466161013735275,1.5173694336333208,1.96505562870193,165.84013356423705
266,6.819238,25-5-2021,1.2633274963966594,1.543146196143331,1.9899934970143565,167.9792260311007
267,6.790847,30-5-2021,1.1611064063409828,1.4156847474142424,1.835893956880729,155.51296266569742
268,7.112618,4-6-2021,1.5176026926080357,1.8410805442290892,2.401634337530519,203.00674620942024
269,6.618357,9-6-2021,1.2992726037493694,1.5814104630520178,2.0436946952532318,173.13598031586085
270,7.643123,14-6-2021,1.293879898072177,1.5668237245333339,2.032723459494492,171.88839669992916
271,7.138484,19-6-2021,1.1962243002383985,1.419139968156482,1.8977534372570637,156.38207838315185
272,7.268124,24-6-2021,1.0463758118941033,1.2483605486687026,1.6482179225705766,138.58424958935848
273,6.885298,29-6-2021,1.1165023468191397,1.3318537800819263,1.7598449923112571,147.30036436950118
274,6.872465,4-7-2021,1.188060646032003,1.4096155624434996,1.8719144919180308,156.51666397591373
275,7.344506,9-7-2021,1.1369449446557645,1.3468246740938277,1.8123936806099072,147.9123261830064
276,8.731189,14-7-2021,1.0740718214066387,1.264671768275158,1.6998276183338812,139.87269757123246
277,5.341712,19-7-2021,1.0074595231738694,1.1900065239474007,1.610578629640892,130.74423177631485
278,7.764005,24-7-2021,1.022163056305609,1.203239820067367,1.6333066095151243,133.0199371879917
279,7.592414,29-7-2021,1.0838846999389706,1.2840181960693164,1.7402863579333712,141.0936974659787
280,8.097686,3-8-2021,1.106650952028966,1.314092238745016,1.784609535288864,143.6223971413976
281,3.729994,8-8-2021,1.2567895923660681,1.4783359788246955,2.0101658688708977,162.93479990616373
282,6.921467,13-8-2021,1.5403344376351036,1.8076602778206021,2.462752747182235,199.57473297278375
283,7.511339,18-8-2021,1.6417802522684188,1.9222342258147989,2.6489829307397263,210.6249708252049
284,4.734141,23-8-2021,2.2767297188413567,2.6628666921343758,3.7300105190072275,292.5159061309616
285,6.805267,28-8-2021,2.487767915192561,2.93442218478271,4.012311748230202,322.3022999575218
